ID,LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
1,-120.15,36.55,228.2,0.0,6.6,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
2,-120.15,36.55,228.2,0.0,6.6,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
3,-121.55,37.7,468.4,0.346666687,3.406666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
4,-121.6,37.1,293.5,0.0,1.5,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
5,-122.25,39.3,228.2,0.35,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
6,-121.6,39.1,293.5,0.411891907,1.008636414,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
7,-121.65,39.05,293.5,0.506666687,1.407577637,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
8,-121.65,39.05,293.5,0.506666687,1.407577637,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
9,-124.2,40.75,351.9,0.019047165,0.904,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
10,-122.2,39.75,228.2,0.574,3.42,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
11,-121.9,39.15,228.2,0.608,2.803606445,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
12,-121.95,39.15,228.2,0.318235291,3.102301025,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
13,-122.75,38.35,228.2,0.58,1.076901367,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
14,-119.95,36.85,386.6,0.0,7.95,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
15,-120.05,36.85,386.6,0.0,8.05,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
16,-120.1,36.8,386.6,0.0,8.15,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
17,-120.25,36.8,293.5,0.0,3.0,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
18,-120.3,36.8,228.2,0.0,2.5,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
19,-120.4,36.75,228.2,0.0,3.55,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
20,-120.45,36.8,228.2,0.0,3.25,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
21,-118.85,35.35,386.6,0.0,2.15,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
22,-118.8,35.3,351.9,0.0,1.6,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
23,-121.55,39.0,386.6,0.412105255,1.008636414,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
24,-121.4,38.6,386.6,0.601428589,1.507341797,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
25,-121.45,38.65,228.2,0.601904785,1.806666748,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
26,-121.7,40.85,518.9,518.9,518.9,Inferred,CGS/Wills VS30 Map (2015),CGS/Wills VS30 Map (2015),CGS/Wills VS30 Map (2015)
27,-124.2,40.65,444.0,0.0,0.87,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
28,-124.15,40.65,468.4,0.0,0.87125,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
29,-124.15,40.65,468.4,0.0,0.87125,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
30,-121.5,41.05,228.2,228.2,228.2,Inferred,CGS/Wills VS30 Map (2015),CGS/Wills VS30 Map (2015),CGS/Wills VS30 Map (2015)
31,-122.0,39.75,228.2,0.642,2.504496094,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
32,-122.1,39.55,228.2,0.331666687,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
33,-122.05,39.5,228.2,0.624,3.51,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
34,-122.0,39.45,293.5,0.626,2.903050781,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
35,-121.6,39.2,386.6,0.317714294,0.809949707,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
36,-121.6,39.25,386.6,0.337647064,0.730476196,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
37,-122.1,39.1,228.2,0.526,3.51,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
38,-121.75,39.15,228.2,0.5065,1.806666748,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
39,-122.5,37.95,733.4,0.057872345,0.855,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
40,-121.4,38.4,386.6,0.608,2.105915527,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
41,-121.25,37.85,386.6,0.608,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
42,-122.15,38.05,176.1,0.404042542,0.855,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
43,-121.4,38.1,386.6,0.61,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
44,-121.4,38.15,386.6,0.61,3.400952393,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
45,-121.45,38.1,386.6,0.61,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
46,-121.4,38.1,386.6,0.61,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
47,-121.35,38.0,386.6,0.61,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
48,-121.3,37.95,386.6,0.61,3.50039209,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
49,-121.25,37.9,386.6,0.608,3.50039209,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
50,-121.45,37.85,228.2,0.612,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
51,-121.55,37.85,228.2,0.608,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
52,-121.6,37.8,386.6,0.346666687,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
53,-120.05,36.85,386.6,0.0,8.05,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
54,-120.05,36.7,386.6,0.0,7.7,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
55,-120.05,36.65,386.6,0.0,6.75,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
56,-119.6,36.7,386.6,0.0,7.1,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
57,-121.8,37.35,351.9,0.333333313,2.745918213,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
58,-119.35,35.55,228.2,0.0,7.35,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
59,-117.5,34.9,710.1,0.0,0.95,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
60,-117.45,34.75,293.5,0.0,1.4,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
61,-117.45,34.7,386.6,0.0,1.3,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
62,-122.1,39.1,228.2,0.526,3.51,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
63,-121.15,37.4,293.5,0.0,4.35,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
64,-121.85,39.1,228.2,0.608,2.704,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
65,-121.95,39.05,228.2,0.608,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
66,-121.65,39.05,293.5,0.506666687,1.407577637,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
67,-121.35,39.1,710.1,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
68,-121.35,39.1,710.1,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
69,-121.15,39.2,710.1,0.008886419,0.015554567,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
70,-121.2,38.8,710.1,0.008886419,0.015554567,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
71,-121.85,38.75,386.6,0.626,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
72,-121.8,38.7,386.6,0.626,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
73,-122.4,40.55,386.6,0.0,0.874666687,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
74,-122.4,40.6,386.6,386.6,386.6,Inferred,CGS/Wills VS30 Map (2015),CGS/Wills VS30 Map (2015),CGS/Wills VS30 Map (2015)
75,-122.15,39.6,228.2,0.56,3.506666504,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
76,-121.8,39.4,228.2,0.333333313,1.726928101,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
77,-121.7,39.15,228.2,0.5065,1.507341797,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
78,-122.65,38.45,351.9,0.462626282,0.855,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
79,-122.6,38.45,444.0,0.593333313,2.54653833,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
80,-122.45,38.25,293.5,0.608,1.514586426,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
81,-122.8,38.5,293.5,0.596,1.335474365,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
82,-122.7,38.4,293.5,0.592,1.057042236,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
83,-122.2,38.1,386.6,0.056610168,0.86,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
84,-121.5,38.55,228.2,0.608888916,2.704,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
85,-121.55,38.65,228.2,0.608,2.803606445,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
86,-121.45,38.55,386.6,0.608,2.205611572,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
87,-121.35,38.55,386.6,0.601428589,1.307804932,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
88,-121.8,38.5,228.2,0.606,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
89,-121.35,38.15,386.6,0.608,2.803606445,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
90,-122.05,38.0,293.5,0.601111084,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
91,-122.05,37.9,386.6,0.592,3.32,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
92,-121.95,37.75,293.5,0.59,3.304,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
93,-121.95,37.75,293.5,0.59,3.304,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
94,-120.95,37.7,386.6,0.0,2.5,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
95,-120.95,37.65,386.6,0.0,2.75,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
96,-121.0,37.1,228.2,0.0,3.95,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
97,-120.95,37.1,228.2,0.0,4.15,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
98,-120.95,37.15,228.2,0.0,3.85,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
